puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_kast_percent,s_dd_round,s_acs,s_kad_ratio,s_kills_per_round,deaths_per_game,kills_per_game,assists_per_game,first_bloods_per_game,flawless_rounds_per_game,aces_per_game,smurf_label
3ff4a01d-f40f-5d67-a671-22b3e2d5b61e,Bulgogi,1090,21.5,71.5,7.0,143.4,1.04,20.1,34.6,71.5,17.0,209.7,1.36,0.7,14.301333333333332,14.877999999999998,4.536444444444444,1.460888888888889,0.8073333333333332,0.0,normal player
2d9071de-21bf-5b69-b13e-6da4df300846,Lord Fader,8888,10.1,73.8,16.1,89.5,0.56,10.1,33.3,64.9,-50.0,128.3,0.83,0.4,17.648999999999997,9.90675,4.8285,1.1655,0.8324999999999999,0.0,normal player
e10b2ea3-47b7-592e-9eae-d6281539ecbc,Noodles,NDL3S,18.0,71.0,11.0,141.4,1.3,18.0,40.0,70.8,18.0,229.0,1.57,0.8,12.2,15.8,3.4,1.4,0.6,0.2,normal player
18fe0aa6-1236-522d-869a-4da753cd74ad,thatdrunkguy5455,5608,12.5,80.0,7.5,143.3,0.93,14.1,45.5,67.5,-11.0,220.2,1.24,0.7,16.796,15.599999999999998,5.199999999999999,2.665,0.7669999999999999,0.0,normal player
bbbca435-964f-51aa-8dd3-037b5bc834b4,bumster,5371,17.6,72.1,10.3,133.0,1.04,19.9,46.9,70.4,1.0,206.7,1.38,0.7,13.911967391304348,14.493119565217391,4.674706521739131,1.9218804347826088,0.6576195652173913,0.0,normal player
fd9a7d3d-cec0-5042-ac1a-9e71b6efb08d,Illitzelettes,WA2,11.2,74.9,13.9,113.0,0.77,12.3,53.0,69.5,-20.0,166.4,1.2,0.5,15.11319587628866,11.616288659793812,6.556701030927835,1.032680412371134,0.781340206185567,0.0109278350515463,normal player
422e515a-3854-5419-b916-e86c6fbb3754,Bizarre,1144,11.4,75.7,12.9,142.4,1.08,11.1,44.4,72.7,4.0,223.8,1.43,0.8,15.1182,16.3392,5.2614,1.443,0.6882,0.0444,normal player
3227b9d3-a132-5e29-b303-c6191739e26f,Light Yagami,NA 1,25.3,70.1,4.6,135.8,0.94,23.5,39.2,68.4,-4.0,203.8,1.27,0.7,15.996129032258066,14.959225806451611,5.38683870967742,1.5932903225806452,0.543741935483871,0.0126451612903225,normal player
0089fb11-7146-5300-aef0-7579984cc4b0,GothMommy,Viper,23.2,73.0,3.7,154.8,1.0,23.2,47.6,69.7,13.0,225.5,1.29,0.8,15.0892,15.0892,4.3316,1.8088,0.5712,0.0476,suspicious
00fa7ac5-2c63-54d4-8713-98029fc3a685,reaperdragon2012,8935,22.7,72.9,4.5,152.8,1.02,24.1,54.5,72.6,2.0,233.2,1.49,0.8,15.804999999999998,16.122916666666665,7.402916666666665,2.0891666666666664,0.4541666666666666,0.0454166666666666,suspicious
8eff3db0-ea20-55a4-aec3-15a022fdb2d4,Limbo,2lucy,33.3,63.1,3.7,129.4,0.99,31.9,48.9,70.4,5.0,190.0,1.39,0.7,13.99551724137931,13.911206896551723,5.485793103448276,1.534448275862069,0.6801034482758621,0.0168620689655172,normal player
003535d4-c1bd-5b99-848c-92a680a415c9,TiredVex,Hope,32.8,64.1,3.0,170.8,1.15,32.1,37.0,70.8,18.0,257.5,1.36,0.9,16.7055,19.129,3.589,3.8665,0.6104999999999999,0.074,most likely smurf
52c02387-91cd-5644-be46-4a714779869a,bliss,4107,16.8,76.7,6.5,125.7,0.91,17.5,53.0,72.2,-6.0,189.4,1.39,0.6,14.94439393939394,13.571212121212122,7.255378787878788,1.4053030303030305,0.8632575757575758,0.008030303030303,normal player
f82c5c49-2828-5997-9414-ca7902c43117,ntk,ToT,14.8,80.0,5.2,116.1,0.87,13.8,52.8,71.9,-18.0,175.0,1.22,0.6,14.840571428571428,12.973714285714284,5.185714285714286,0.4902857142857142,0.8108571428571428,0.0,normal player
1dcee2b0-929f-5cfc-a7ba-263d968741d4,Sndess,NA1,27.0,68.4,4.6,163.6,1.15,27.5,52.5,71.4,23.0,247.9,1.44,0.9,15.548076923076923,17.93076923076923,4.502884615384615,3.2509615384615382,0.8076923076923077,0.0504807692307692,most likely smurf
2ac81cea-d864-5c13-a26f-ff1456817617,Rileee,69420,27.8,67.7,4.5,174.0,1.25,23.9,50.6,74.0,37.0,260.6,1.6,0.9,15.342179487179488,19.20853846153846,5.377871794871795,2.5883846153846157,0.7006153846153846,0.0713589743589743,most likely smurf
ac4f2166-dd8e-548d-8331-5881016e44ac,sojuu,fps,32.3,64.2,3.4,141.7,1.08,20.6,46.4,72.6,5.0,216.5,1.44,0.8,15.023912087912088,16.224703296703296,5.453274725274725,1.8024615384615383,0.6475604395604395,0.0356923076923076,normal player
31ad319f-e858-5e31-8250-aca3a76e602b,wetspaget,4044,21.8,70.3,7.8,134.8,0.88,24.4,51.4,70.9,-10.0,203.4,1.27,0.7,16.75205633802817,14.681577464788733,6.667521126760563,1.9763661971830984,0.7746197183098591,0.0289577464788732,normal player
96f5d847-d171-5785-b4c7-0f97fcff5dda,ttan,help,21.3,72.0,6.7,189.4,1.35,22.2,51.6,77.3,48.0,284.5,1.7,1.0,15.415500000000002,20.80125,5.385750000000001,2.58,0.903,0.0645,most likely smurf
